관리번호,분류,대표명,주소,경도,위도,사업장명,지번주소,도로명주소,
11,대형슈퍼,GS슈퍼,서울특별시 동대문구 장안동,127.072553,37.5750235,GS THE FRESH 동대문장안점,서울특별시 동대문구 장안동 310-8 희헌빌딩,"서울특별시 동대문구 장한로28가길 45, 희헌빌딩 (장안동)","	X :127.072553, Y :37.5750235"
12,대형슈퍼,이마트 에브리데이,서울특별시 서대문구 남가좌동,126.923924,37.5805607,이마트에브리데이 명지대점,서울특별시 서대문구 남가좌동 50-3 명지대학교,"서울특별시 서대문구 거북골로 34, 명지대학교 (남가좌동)","X :126.923924, Y :37.5805607"
13,백화점,신세계백화점,서울특별시 서초구 반포동,127.003599,37.5043439,신세계백화점 강남점,서울특별시 서초구 반포동 19-3호,서울특별시 서초구 신반포로 176 (반포동),"X :127.003599, Y :37.5043439"
14,대형슈퍼,GS슈퍼,서울특별시 송파구 거여동,127.147205,37.4970099,GS THE FRESH 송파시그니처점,서울특별시 송파구 거여동 202-180 송파시그니처롯데캐슬,"서울특별시 송파구 거마로 56(거여동, 송파시그니처롯데캐슬)","X :127.147205, Y :37.4970099"
15,대형슈퍼,GS슈퍼,서울특별시 송파구 문정동,127.123645,37.4805933,GS THE FRESH 송파하비오점,서울특별시 송파구 문정동 618 파크하비오,"서울특별시 송파구 송파대로 111, 하비오길동 제1층호텔로 202동 (문정동, 파크하비오)","X :127.123645, Y :37.4805933"
16,대형슈퍼,롯데슈퍼,서울특별시 강동구 길동,127.136356,37.5385137,롯데쇼핑㈜롯데슈퍼길동점,서울특별시 강동구 길동 384-1호,서울특별시 강동구 성안로 176 (길동),"	X :127.136356, Y :37.5385137"
17,백화점,NC백화점,서울특별시 구 로구 구로동,126.882728,37.501239,이랜드리테일 NC구로점,서울특별시 구로구 구로동 573,서울특별시 구로구 구로중앙로 152 (구로동),"X :126.882728, Y :37.5012390"
18,백화점,롯데백화점,서울특별시 영등포구 영등포동,126.907646,37.5156503,롯데백화점 영등포점,서울특별시 영등포구 영등포동 618-496호,"서울특별시 영등포구 경인로 846 (영등포동, 영등포 민자역사)","X :126.907646, Y :37.5156503"
19,대형할인마트,롯데마트,서울특별시 강북구 미아동,127.017695,37.6255621,롯데쇼핑(주) 롯데마트 삼양점,서울특별시 강북구 미아동 1359번지,서울특별시 강북구 삼양로 247 (미아동),"	X :127.017695, Y :37.6255621"
20,대형슈퍼,GS슈퍼,서울특별시 관악구 봉천동,126.959886,37.487578,지에스 더 프레시(GS THE FRESH) 관악청림점,서울특별시 관악구 봉천동 1717-3 관악푸르지오,"서울특별시 관악구 청림6길 3, 관악푸르지오 상가동 110,113,114호 (봉천동)","	X :126.959886, Y :37.4875780"
